t_norm,t,f
0.0,1947-04-01,-1.0
0.24914442162902123,1947-07-01,-0.8
0.5010266940451745,1947-10-01,6.4
0.7529089664613279,1948-01-01,6.2
1.002053388090349,1948-04-01,6.8
1.2511978097193703,1948-07-01,2.3
1.5030800821355237,1948-10-01,0.5
1.754962354551677,1949-01-01,-5.4
2.001368925393566,1949-04-01,-1.4
2.2505133470225873,1949-07-01,4.2
2.5023956194387407,1949-10-01,-3.3
2.754277891854894,1950-01-01,16.7
3.0006844626967832,1950-04-01,12.7
3.249828884325804,1950-07-01,16.4
3.5017111567419574,1950-10-01,7.9
3.753593429158111,1951-01-01,5.5
4.0,1951-04-01,7.1
4.249144421629021,1951-07-01,8.5
4.501026694045175,1951-10-01,0.9
4.7529089664613275,1952-01-01,4.3
5.002053388090349,1952-04-01,0.8
5.25119780971937,1952-07-01,2.9
5.503080082135524,1952-10-01,13.8
5.754962354551677,1953-01-01,7.7
6.0013689253935665,1953-04-01,3.1
6.250513347022587,1953-07-01,-2.2
6.50239561943874,1953-10-01,-5.9
6.754277891854894,1954-01-01,-1.9
7.000684462696783,1954-04-01,0.4
7.2498288843258045,1954-07-01,4.6
7.501711156741957,1954-10-01,8.1
7.753593429158111,1955-01-01,11.9
8.0,1955-04-01,6.7
8.24914442162902,1955-07-01,5.5
8.501026694045175,1955-10-01,2.4
8.752908966461328,1956-01-01,-1.5
9.00205338809035,1956-04-01,3.3
9.25119780971937,1956-07-01,-0.3
9.503080082135524,1956-10-01,6.8
9.754962354551678,1957-01-01,2.6
10.001368925393566,1957-04-01,-0.9
10.250513347022586,1957-07-01,4.0
10.50239561943874,1957-10-01,-4.1
10.754277891854894,1958-01-01,-10.0
11.000684462696784,1958-04-01,2.7
11.249828884325805,1958-07-01,9.6
11.501711156741958,1958-10-01,9.7
11.75359342915811,1959-01-01,7.9
12.0,1959-04-01,9.3
12.24914442162902,1959-07-01,0.3
12.501026694045175,1959-10-01,1.1
12.752908966461328,1960-01-01,9.3
13.00205338809035,1960-04-01,-2.1
13.25119780971937,1960-07-01,2.0
13.503080082135524,1960-10-01,-5.0
13.754962354551678,1961-01-01,2.7
14.001368925393566,1961-04-01,7.0
14.250513347022586,1961-07-01,7.9
14.50239561943874,1961-10-01,8.1
14.754277891854894,1962-01-01,7.3
15.000684462696784,1962-04-01,3.7
15.249828884325805,1962-07-01,5.0
15.501711156741958,1962-10-01,1.3
15.75359342915811,1963-01-01,4.4
16.0,1963-04-01,4.6
16.249144421629023,1963-07-01,9.1
16.501026694045173,1963-10-01,2.6
16.752908966461327,1964-01-01,8.7
17.00205338809035,1964-04-01,4.4
17.251197809719372,1964-07-01,6.4
17.503080082135522,1964-10-01,1.2
17.754962354551676,1965-01-01,10.0
18.001368925393567,1965-04-01,5.2
18.250513347022586,1965-07-01,9.2
18.50239561943874,1965-10-01,9.5
18.754277891854894,1966-01-01,10.1
19.000684462696782,1966-04-01,1.4
19.249828884325805,1966-07-01,3.4
19.50171115674196,1966-10-01,3.3
19.753593429158112,1967-01-01,3.6
20.0,1967-04-01,0.2
20.249144421629023,1967-07-01,3.8
20.501026694045173,1967-10-01,3.1
20.752908966461327,1968-01-01,8.4
21.00205338809035,1968-04-01,6.9
21.251197809719372,1968-07-01,3.1
21.503080082135522,1968-10-01,1.6
21.754962354551676,1969-01-01,6.4
22.001368925393567,1969-04-01,1.2
22.250513347022586,1969-07-01,2.7
22.50239561943874,1969-10-01,-1.9
22.754277891854894,1970-01-01,-0.6
23.000684462696782,1970-04-01,0.6
23.249828884325805,1970-07-01,3.7
23.50171115674196,1970-10-01,-4.2
23.753593429158112,1971-01-01,11.3
24.0,1971-04-01,2.2
24.249144421629023,1971-07-01,3.3
24.501026694045173,1971-10-01,0.9
24.752908966461327,1972-01-01,7.6
25.00205338809035,1972-04-01,9.4
25.251197809719372,1972-07-01,3.8
25.503080082135522,1972-10-01,6.9
25.754962354551676,1973-01-01,10.3
26.001368925393567,1973-04-01,4.4
26.250513347022586,1973-07-01,-2.1
26.50239561943874,1973-10-01,3.9
26.754277891854894,1974-01-01,-3.4
27.000684462696782,1974-04-01,1.0
27.249828884325805,1974-07-01,-3.7
27.50171115674196,1974-10-01,-1.5
27.753593429158112,1975-01-01,-4.8
28.0,1975-04-01,2.9
28.249144421629023,1975-07-01,7.0
28.501026694045173,1975-10-01,5.5
28.752908966461327,1976-01-01,9.3
29.00205338809035,1976-04-01,3.0
29.251197809719372,1976-07-01,2.2
29.503080082135522,1976-10-01,2.9
29.754962354551676,1977-01-01,4.8
30.001368925393567,1977-04-01,8.0
30.250513347022586,1977-07-01,7.4
30.50239561943874,1977-10-01,0.0
30.754277891854894,1978-01-01,1.3
31.000684462696782,1978-04-01,16.4
31.249828884325805,1978-07-01,4.1
31.50171115674196,1978-10-01,5.5
31.753593429158112,1979-01-01,0.7
32.0,1979-04-01,0.4
32.24914442162902,1979-07-01,3.0
32.50102669404517,1979-10-01,1.0
32.75290896646133,1980-01-01,1.3
33.002053388090346,1980-04-01,-8.0
33.25119780971937,1980-07-01,-0.5
33.503080082135526,1980-10-01,7.7
33.75496235455168,1981-01-01,8.1
34.001368925393564,1981-04-01,-2.9
34.25051334702259,1981-07-01,4.9
34.502395619438744,1981-10-01,-4.3
34.75427789185489,1982-01-01,-6.1
35.00068446269678,1982-04-01,1.8
35.2498288843258,1982-07-01,-1.5
35.501711156741955,1982-10-01,0.2
35.75359342915811,1983-01-01,5.4
36.0,1983-04-01,9.4
36.24914442162902,1983-07-01,8.2
36.50102669404517,1983-10-01,8.6
36.75290896646133,1984-01-01,8.1
37.002053388090346,1984-04-01,7.1
37.25119780971937,1984-07-01,3.9
